otime,o,h,l,c,vol,ctime,quoteAssetVolume,nTrades,buyBaseAssetV,buyQuoteAssetV,unused
2020-02-16,264.91,274.00000000,237.41000000,258.85,1110118.46395,2020-02-16 23:59:59.999,286269166.28143690,416082.0,526993.06165000,135974874.77418050,0
2020-02-15,285.11,288.41000000,261.86000000,264.88,860813.14274,2020-02-15 23:59:59.999,236287101.09867710,348934.0,419793.21130000,115254803.51058330,0
2020-02-14,268.34,287.15000000,260.28000000,285.15,734944.32266,2020-02-14 23:59:59.999,201120424.58322010,309022.0,380703.78554000,104184138.43923920,0
2020-02-13,265.74,277.69000000,256.08000000,268.32,1089679.1537,2020-02-13 23:59:59.999,291533156.09169540,422008.0,539389.59743000,144330540.73887080,0
2020-02-12,236.69,275.34000000,236.69000000,265.74,1038073.74782,2020-02-12 23:59:59.999,266734296.55029730,415316.0,521382.12082000,133916108.01620910,0
2020-02-11,222.89,239.15000000,218.17000000,236.69,595576.90276,2020-02-11 23:59:59.999,135863928.62430580,250241.0,309901.30870000,70710866.22847840,0
2020-02-10,228.53,229.40000000,216.37000000,222.89,510415.49949,2020-02-10 23:59:59.999,113385288.95030170,232617.0,255575.45007000,56800747.20515700,0
2020-02-09,223.01,230.65000000,222.86000000,228.49,350336.24399,2020-02-09 23:59:59.999,79674647.00019990,183735.0,172523.02255000,39249445.39954730,0
2020-02-08,223.36,227.75000000,213.22000000,223.05,548551.87465,2020-02-08 23:59:59.999,122069507.65511160,257281.0,277426.26209000,61749990.22004080,0
2020-02-07,213.16,225.00000000,213.14000000,223.33,629361.15466,2020-02-07 23:59:59.999,138524804.21757590,268274.0,313125.90630000,68898379.27826870,0
2020-02-06,203.78,216.33000000,201.02000000,213.19,608240.2233,2020-02-06 23:59:59.999,127874220.81468680,276196.0,302771.02677000,63669109.12426110,0
2020-02-05,188.91,207.61000000,188.19000000,203.78,550942.11417,2020-02-05 23:59:59.999,108659358.53591860,241415.0,291264.24776000,57410798.32462930,0
2020-02-04,189.74,191.60000000,184.69000000,188.91,366389.69686,2020-02-04 23:59:59.999,68720832.61529370,173353.0,174776.24193000,32795529.65348510,0
2020-02-03,188.48,195.19000000,186.62000000,189.69,417175.95781,2020-02-03 23:59:59.999,79336312.52469230,181726.0,213868.71408000,40681548.24643290,0
2020-02-02,183.63,193.43000000,179.10000000,188.44,552621.13619,2020-02-02 23:59:59.999,104105613.55878510,222425.0,280248.03436000,52807627.80381550,0
2020-02-01,179.94,184.28000000,179.23000000,183.6,259370.12902,2020-02-01 23:59:59.999,47263178.06678230,124149.0,125544.78709000,22884938.04605620,0
2020-01-31,184.71,185.82000000,175.22000000,179.99,385596.53365,2020-01-31 23:59:59.999,69633052.28263920,157597.0,182789.87905000,33021337.95611110,0
2020-01-30,173.68,187.00000000,170.93000000,184.69,477721.6609,2020-01-30 23:59:59.999,85164074.08231600,189458.0,241401.15381000,43057387.75118880,0
2020-01-29,175.58,178.45000000,173.33000000,173.72,317382.90161,2020-01-29 23:59:59.999,55988230.27435140,145062.0,151440.50706000,26718161.10623690,0
2020-01-28,170.04,176.20000000,170.03000000,175.64,473433.89609,2020-01-28 23:59:59.999,81649497.49294890,178990.0,249252.61532000,42996095.55943560,0
2020-01-27,167.91,172.56000000,165.22000000,170.08,365894.81917,2020-01-27 23:59:59.999,61846624.61453890,157072.0,183012.19780000,30945679.51868380,0
2020-01-26,160.36,168.08000000,159.41000000,167.86,251582.55758,2020-01-26 23:59:59.999,41239031.33790620,116628.0,135644.62680000,22253874.87122680,0
2020-01-25,162.51,162.79000000,157.61000000,160.35,219921.65197,2020-01-25 23:59:59.999,35196608.30633680,95448.0,114622.44585000,18335347.16165160,0
2020-01-24,162.85,164.45000000,155.55000000,162.54,430013.19902,2020-01-24 23:59:59.999,68980724.06049470,145668.0,201937.83641000,32428806.00500690,0
2020-01-23,168.07,168.20000000,159.21000000,162.81,373414.34985,2020-01-23 23:59:59.999,60971659.77458240,150875.0,179121.31926000,29244864.76378710,0
2020-01-22,169.48,171.47000000,166.03000000,168.07,272240.90286,2020-01-22 23:59:59.999,45903134.16291320,111017.0,131183.80623000,22137225.77374620,0
2020-01-21,166.86,170.32000000,164.80000000,169.49,308007.6353,2020-01-21 23:59:59.999,51615232.56698970,125609.0,154669.56313000,25916761.62117410,0
2020-01-20,166.79,169.33000000,161.24000000,166.87,358092.8841,2020-01-20 23:59:59.999,59292534.71746490,130615.0,181828.19520000,30119285.65625970,0
2020-01-19,174.1,178.05000000,161.66000000,166.79,624681.28604,2020-01-19 23:59:59.999,105691368.81966230,203953.0,307350.63954000,51957534.85309240,0
